Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_5,53,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,53,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,54,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,54,2,True,,False,
Service_3,54,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,54,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,54,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,54,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,55,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,55,2,True,,False,
Service_3,55,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,55,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,55,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,55,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,56,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,56,2,True,,False,
Service_3,56,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,56,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,56,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,56,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,57,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,57,2,True,,False,
Service_3,57,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,57,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,57,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,57,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,58,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,58,2,True,,False,
Service_3,58,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,58,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,58,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,58,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,59,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,59,2,True,,False,
Service_3,59,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,59,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,59,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,59,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,60,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,60,2,True,,False,
Service_3,60,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,60,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,60,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,60,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
